"dataset","target","shift","method","phi_source","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1017,0.218487394957983,0.283376906318083,0.382280284283239
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1018,0.352941176470588,0.532496392496392,0.504652150012012
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1019,0.390756302521008,0.505579212454212,0.532578344923169
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1020,0.369747899159664,0.52000102124183,0.41916058626384
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1021,0.411764705882353,0.494893162393162,0.53188561286207
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1022,0.495798319327731,0.476102292768959,0.641904958705735
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1023,0.466386554621849,0.395060606060606,0.56922031610703
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1024,0.495798319327731,0.473284099413132,0.557431556580822
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1025,0.453781512605042,0.457765507518797,0.524343739550545
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1026,0.411764705882353,0.488912349922168,0.600697987997026
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1027,0.508403361344538,0.367308286951144,0.596582017871066
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1028,0.453781512605042,0.43542290520674,0.58319802681721
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1029,0.525210084033613,0.556421356421356,0.564354765282363
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1030,0.445378151260504,0.403002645502645,0.543015798232544
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1001,0.551541850220264,0.411735952944332,0.717404186542161
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1002,0.466960352422908,0.430179433270697,0.652571586364358
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1003,0.282819383259912,0.437607247182387,0.441953422174025
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1004,0.429074889867841,0.411257049607695,0.5667133384014
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1005,0.3215859030837,0.36173140382331,0.457289086128592
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1006,0.442290748898678,0.376279578691467,0.630980374902978
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1007,0.442290748898678,0.3968147585895,0.647946096726856
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1008,0.461674008810573,0.399793216796735,0.655488440251909
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1009,0.54625550660793,0.408998442711661,0.682041800754001
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1010,0.422026431718062,0.346175698561527,0.517249566981877
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1011,0.336563876651982,0.387740644277419,0.433593257402522
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1012,0.372687224669604,0.300368739880973,0.609925280990355
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1013,0.497797356828194,0.368817882917309,0.598480175205157
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1014,0.340969162995595,0.362167614384924,0.527327654055612
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1015,0.496035242290749,0.346872698044092,0.67143420489596
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1016,0.46431718061674,0.407052347617983,0.624735661535687
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1017,0.437004405286344,0.406782803671253,0.586380998738746
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1018,0.487224669603524,0.421581851651849,0.626938194231464
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1019,0.466079295154185,0.386162334587887,0.66426306256216
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1020,0.372687224669604,0.372747983834602,0.510182144083394
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1021,0.472246696035242,0.397850858610636,0.603240946267235
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1022,0.451982378854626,0.337692993697701,0.647635785567609
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1023,0.489867841409692,0.427602787931088,0.585474540013899
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1024,0.456387665198238,0.337160625318787,0.612537364910377
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1025,0.436123348017621,0.379194702890153,0.663066601268848
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1026,0.353303964757709,0.336651852265469,0.538681192007238
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1027,0.422026431718062,0.437971370785849,0.557610374231649
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1028,0.430837004405286,0.365479282174757,0.587428557037385
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1029,0.473127753303965,0.302970292530473,0.706503230830973
"PHMRC","UP","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1030,0.395594713656388,0.315309339869878,0.568879337368846
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1001,0.281576830249397,0.256838765873147,0.500315293250439
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1002,0.399034593724859,0.352142789541332,0.618884115708322
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1003,0.378921962992759,0.269571430403781,0.591397333278458
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1004,0.333065164923572,0.287796163135948,0.530184298495242
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1005,0.275140788415125,0.266239671851959,0.552349604215318
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1006,0.373290426387772,0.305800338638559,0.593567331831565
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1007,0.33869670152856,0.288623526136562,0.610442486038591
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1008,0.399839098954143,0.360310425768049,0.676010075624146
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1009,0.263877715205149,0.270508971715995,0.533898154298878
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1010,0.31858407079646,0.262658118970925,0.617432176989241
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1011,0.319388576025744,0.231996260373239,0.651509587712584
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1012,0.362027353177796,0.299407186761855,0.551184002283888
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1013,0.297666934835076,0.309335826464241,0.5132976386829
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1014,0.267900241351569,0.318531540435154,0.592640539550488
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1015,0.266291230893001,0.272718165636018,0.502946132424967
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1016,0.341914722445696,0.260798436772904,0.642149876984428
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1017,0.217216411906677,0.271336986921938,0.399334582316521
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1018,0.339501206757844,0.271465604197862,0.621716771364454
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1019,0.29444891391794,0.310835114976701,0.52340051322105
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1020,0.368463395012068,0.314389685586281,0.606094685552316
"PHMRC","AP","mild","bfl_mix","LCVA","gibbs_dir","batch_paper1",1021,0.283185840707965,0.236416598959646,0.617462850958594
