"dataset","method","frac","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8088,0.633663366336634,0.243872253167836,0.778925873839805
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8089,0.633663366336634,0.243872253167836,0.77877311013238
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8090,0.633663366336634,0.243872253167836,0.778888390083147
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8091,0.633663366336634,0.243872253167836,0.77888051317329
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8092,0.633663366336634,0.243872253167836,0.778640468414346
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8093,0.633663366336634,0.243872253167836,0.778325220960718
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8094,0.633663366336634,0.243872253167836,0.778637267607024
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8095,0.633663366336634,0.243872253167836,0.778604799373628
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8096,0.633663366336634,0.243872253167836,0.778668962367478
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8097,0.633663366336634,0.243872253167836,0.778884708751879
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8098,0.633663366336634,0.243872253167836,0.778100576011854
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8099,0.633663366336634,0.243872253167836,0.77815681280669
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8100,0.633663366336634,0.243872253167836,0.778082948455618
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8101,0.633663366336634,0.243872253167836,0.777988543058374
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8102,0.633663366336634,0.243872253167836,0.778416084551409
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8103,0.633663366336634,0.243872253167836,0.778168888060559
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8104,0.633663366336634,0.243872253167836,0.778230360090182
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8105,0.633663366336634,0.243872253167836,0.778208009297665
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8106,0.633663366336634,0.243872253167836,0.778332590717593
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8107,0.633663366336634,0.243872253167836,0.77858866907275
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8108,0.633663366336634,0.243872253167836,0.778236440745789
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8109,0.633663366336634,0.243872253167836,0.778727471176124
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8110,0.633663366336634,0.243872253167836,0.778453709831594
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8111,0.633663366336634,0.243872253167836,0.778072056675386
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8112,0.633663366336634,0.243872253167836,0.778455702215287
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8113,0.633663366336634,0.243872253167836,0.778075109012711
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8114,0.633663366336634,0.243872253167836,0.778114439488701
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8115,0.633663366336634,0.243872253167836,0.778509615790196
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8116,0.633663366336634,0.243872253167836,0.778128680323289
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8117,0.633663366336634,0.243872253167836,0.77806870499153
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8118,0.633663366336634,0.243872253167836,0.778292232347166
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8119,0.633663366336634,0.243872253167836,0.778357761578903
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8120,0.633663366336634,0.243872253167836,0.778720713277242
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8121,0.633663366336634,0.243872253167836,0.778925273914753
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8122,0.633663366336634,0.243872253167836,0.778935379446604
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8123,0.633663366336634,0.243872253167836,0.778961212208488
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8124,0.633663366336634,0.243872253167836,0.77870167242463
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8125,0.633663366336634,0.243872253167836,0.778495697311745
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8126,0.633663366336634,0.243872253167836,0.778470339857458
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8127,0.633663366336634,0.243872253167836,0.778266158385733
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8128,0.633663366336634,0.243872253167836,0.778666036634562
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8129,0.633663366336634,0.243872253167836,0.778322326967626
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8130,0.633663366336634,0.243872253167836,0.778351170039271
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8131,0.633663366336634,0.243872253167836,0.778019491407064
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8132,0.633663366336634,0.243872253167836,0.77773547109649
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8133,0.633663366336634,0.243872253167836,0.778073541563952
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8134,0.633663366336634,0.243872253167836,0.777939089678793
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8135,0.633663366336634,0.243872253167836,0.77840746374767
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8136,0.633663366336634,0.243872253167836,0.778341081685259
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8137,0.633663366336634,0.243872253167836,0.778507145433031
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8138,0.633663366336634,0.243872253167836,0.778282206663752
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8139,0.633663366336634,0.243872253167836,0.77777288715534
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8140,0.633663366336634,0.243872253167836,0.778131558734748
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8141,0.633663366336634,0.243872253167836,0.777899705267009
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8142,0.633663366336634,0.243872253167836,0.777761015886111
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8143,0.633663366336634,0.243872253167836,0.777823857210578
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8144,0.633663366336634,0.243872253167836,0.777897026270119
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8145,0.633663366336634,0.243872253167836,0.778242823441475
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8146,0.633663366336634,0.243872253167836,0.778610500317753
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8147,0.633663366336634,0.243872253167836,0.778548645414732
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8148,0.633663366336634,0.243872253167836,0.777952958413627
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8149,0.633663366336634,0.243872253167836,0.777639951248099
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8150,0.633663366336634,0.243872253167836,0.777630687739685
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8151,0.633663366336634,0.243872253167836,0.778205579969867
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8152,0.633663366336634,0.243872253167836,0.778266218305703
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8153,0.633663366336634,0.243872253167836,0.778328334754845
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8154,0.633663366336634,0.243872253167836,0.777850516005108
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8155,0.633663366336634,0.243872253167836,0.777673101848785
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8156,0.633663366336634,0.243872253167836,0.778035098918164
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8157,0.633663366336634,0.243872253167836,0.778147059824536
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8158,0.633663366336634,0.243872253167836,0.778513886171129
