"target","variant","cause","domain","lambda"
"Bohol","BFL_partial","Maternal","Mexico",0.105811198647377
"Bohol","BFL_partial","Drowning","Mexico",0
"Bohol","BFL_partial","Other Cardiovascular Diseases","Mexico",0.268096488995478
"Bohol","BFL_partial","Other Non-communicable Diseases","Mexico",0.192771427039814
"Bohol","BFL_partial","Falls","Mexico",0.812931980273807
"Bohol","BFL_partial","Stroke","Mexico",0.0611891581961988
"Bohol","BFL_partial","Road Traffic","Mexico",0.121922988154958
"Bohol","BFL_partial","Bite of Venomous Animal","Mexico",0.231671595820986
"Bohol","BFL_partial","Diabetes","Mexico",0.270724681126457
"Bohol","BFL_partial","Other Infectious Diseases","Mexico",0.329695121487214
"Bohol","BFL_partial","TB","Mexico",0.0321364657052494
"Bohol","BFL_partial","Suicide","Mexico",0.0603884309452644
"Bohol","BFL_partial","Other Injuries","Mexico",0.135605708760385
"Bohol","BFL_partial","Cervical Cancer","Mexico",0.491651876128154
"Bohol","BFL_partial","Malaria","Mexico",0
"Bohol","BFL_partial","Asthma","Mexico",0.159966373758734
"Bohol","BFL_partial","Diarrhea/Dysentery","Mexico",0.0523099371887558
"Bohol","BFL_partial","Colorectal Cancer","Mexico",0.745542976038467
"Bohol","BFL_partial","Homicide","Mexico",0.672368037739439
"Bohol","BFL_partial","Breast Cancer","Mexico",0.606818866809485
"Bohol","BFL_partial","Leukemia/Lymphomas","Mexico",0.859079320387653
"Bohol","BFL_partial","Poisonings","Mexico",0.146189811409421
"Bohol","BFL_partial","Prostate Cancer","Mexico",0.50308138885321
"Bohol","BFL_partial","Esophageal Cancer","Mexico",0
"Bohol","BFL_partial","Stomach Cancer","Mexico",0.562441836747183
"Bohol","BFL_partial","Cirrhosis","AP",0.286166507010037
"Bohol","BFL_partial","Epilepsy","AP",0.504111954386937
"Bohol","BFL_partial","Pneumonia","AP",0.494362561990755
"Bohol","BFL_partial","COPD","AP",0.141337907287632
"Bohol","BFL_partial","Acute Myocardial Infarction","AP",0.879025736925923
"Bohol","BFL_partial","Fires","AP",0.23852406806063
"Bohol","BFL_partial","Renal Failure","AP",0.879662747296032
"Bohol","BFL_partial","AIDS","AP",0.496679704764211
"Bohol","BFL_partial","Lung Cancer","AP",0.0442391463147475
"Bohol","BFL_partial","Maternal","AP",0.514893177676573
"Bohol","BFL_partial","Drowning","AP",0.302919344428339
"Bohol","BFL_partial","Other Cardiovascular Diseases","AP",0.523227986442968
"Bohol","BFL_partial","Other Non-communicable Diseases","AP",0.76353881461244
"Bohol","BFL_partial","Falls","AP",0.0965475842655209
"Bohol","BFL_partial","Stroke","AP",0.855848543867457
"Bohol","BFL_partial","Road Traffic","AP",0.797127560332487
"Bohol","BFL_partial","Bite of Venomous Animal","AP",0.470248633085029
"Bohol","BFL_partial","Diabetes","AP",0.66986594412234
"Bohol","BFL_partial","Other Infectious Diseases","AP",0.19102558513588
"Bohol","BFL_partial","TB","AP",0.866619660229898
"Bohol","BFL_partial","Suicide","AP",0.636331274856559
"Bohol","BFL_partial","Other Injuries","AP",0.360190192059474
"Bohol","BFL_partial","Cervical Cancer","AP",0.161264700426791
"Bohol","BFL_partial","Malaria","AP",0.253299981048403
"Bohol","BFL_partial","Asthma","AP",0.340088279545341
"Bohol","BFL_partial","Diarrhea/Dysentery","AP",0.615513303473641
"Bohol","BFL_partial","Colorectal Cancer","AP",0.147824905625142
"Bohol","BFL_partial","Homicide","AP",0.10592869746873
"Bohol","BFL_partial","Breast Cancer","AP",0.0445245324466201
"Bohol","BFL_partial","Leukemia/Lymphomas","AP",0.0470361253358732
"Bohol","BFL_partial","Poisonings","AP",0.172506909397633
"Bohol","BFL_partial","Prostate Cancer","AP",0.244258530055045
"Bohol","BFL_partial","Esophageal Cancer","AP",0.321107886534237
"Bohol","BFL_partial","Stomach Cancer","AP",0.217272959318013
"Bohol","BFL_partial","Cirrhosis","Dar",0.036109180549858
"Bohol","BFL_partial","Epilepsy","Dar",0.165969812017123
"Bohol","BFL_partial","Pneumonia","Dar",0.0235976619417326
"Bohol","BFL_partial","COPD","Dar",0.0337411962387677
"Bohol","BFL_partial","Acute Myocardial Infarction","Dar",0.00841839455115344
"Bohol","BFL_partial","Fires","Dar",0.283032944450166
"Bohol","BFL_partial","Renal Failure","Dar",0.0150419084029659
"Bohol","BFL_partial","AIDS","Dar",0.155486750725672
"Bohol","BFL_partial","Lung Cancer","Dar",0.0458338347397354
"Bohol","BFL_partial","Maternal","Dar",0.092097632355601
"Bohol","BFL_partial","Drowning","Dar",0.168026361409009
"Bohol","BFL_partial","Other Cardiovascular Diseases","Dar",0.0490926255213006
"Bohol","BFL_partial","Other Non-communicable Diseases","Dar",0.0088897276913367
"Bohol","BFL_partial","Falls","Dar",0.029702314510733
"Bohol","BFL_partial","Stroke","Dar",0.0530113094966492
"Bohol","BFL_partial","Road Traffic","Dar",0.0410057999842185
"Bohol","BFL_partial","Bite of Venomous Animal","Dar",0
"Bohol","BFL_partial","Diabetes","Dar",0.0202461115615402
"Bohol","BFL_partial","Other Infectious Diseases","Dar",0.0496024015781431
"Bohol","BFL_partial","TB","Dar",0.0424506929790477
"Bohol","BFL_partial","Suicide","Dar",0.0642203377732019
"Bohol","BFL_partial","Other Injuries","Dar",0.228811148294084
"Bohol","BFL_partial","Cervical Cancer","Dar",0.192114957949624
"Bohol","BFL_partial","Malaria","Dar",0.234468944079899
"Bohol","BFL_partial","Asthma","Dar",0.175227386071513
"Bohol","BFL_partial","Diarrhea/Dysentery","Dar",0.047599128737227
"Bohol","BFL_partial","Colorectal Cancer","Dar",0.10663211833639
"Bohol","BFL_partial","Homicide","Dar",0.175716785658484
"Bohol","BFL_partial","Breast Cancer","Dar",0.305215082594176
"Bohol","BFL_partial","Leukemia/Lymphomas","Dar",0.0496223161688625
"Bohol","BFL_partial","Poisonings","Dar",0.169172880046631
"Bohol","BFL_partial","Prostate Cancer","Dar",0.252660081091745
"Bohol","BFL_partial","Esophageal Cancer","Dar",0.678892113465763
"Bohol","BFL_partial","Stomach Cancer","Dar",0.220285203934804
"Bohol","BFL_partial","Cirrhosis","Pemba",0
"Bohol","BFL_partial","Epilepsy","Pemba",0
"Bohol","BFL_partial","Pneumonia","Pemba",0.00867503660530162
"Bohol","BFL_partial","COPD","Pemba",0
"Bohol","BFL_partial","Acute Myocardial Infarction","Pemba",0
"Bohol","BFL_partial","Fires","Pemba",0.13892644542926
"Bohol","BFL_partial","Renal Failure","Pemba",0
"Bohol","BFL_partial","AIDS","Pemba",0
"Bohol","BFL_partial","Lung Cancer","Pemba",0
"Bohol","BFL_partial","Maternal","Pemba",0.103498980935428
"Bohol","BFL_partial","Drowning","Pemba",0.320635451588825
"Bohol","BFL_partial","Other Cardiovascular Diseases","Pemba",0
"Bohol","BFL_partial","Other Non-communicable Diseases","Pemba",0.00965422123874846
"Bohol","BFL_partial","Falls","Pemba",0.0309621196315627
"Bohol","BFL_partial","Stroke","Pemba",0
"Bohol","BFL_partial","Road Traffic","Pemba",0.0193771720637606
"Bohol","BFL_partial","Bite of Venomous Animal","Pemba",0
"Bohol","BFL_partial","Diabetes","Pemba",0.0198524271902327
"Bohol","BFL_partial","Other Infectious Diseases","Pemba",0.0495053848764767
"Bohol","BFL_partial","TB","Pemba",0.017182983516059
"Bohol","BFL_partial","Suicide","Pemba",0.0597251317287334
"Bohol","BFL_partial","Other Injuries","Pemba",0.135033962933457
"Bohol","BFL_partial","Cervical Cancer","Pemba",0
"Bohol","BFL_partial","Malaria","Pemba",0.234105061399973
"Bohol","BFL_partial","Asthma","Pemba",0.163486745101559
"Bohol","BFL_partial","Diarrhea/Dysentery","Pemba",0.0477469905607257
"Bohol","BFL_partial","Colorectal Cancer","Pemba",0
"Bohol","BFL_partial","Homicide","Pemba",0.0204380060736977
"Bohol","BFL_partial","Breast Cancer","Pemba",0
"Bohol","BFL_partial","Leukemia/Lymphomas","Pemba",0
"Bohol","BFL_partial","Poisonings","Pemba",0.14369006466201
"Bohol","BFL_partial","Prostate Cancer","Pemba",0
"Bohol","BFL_partial","Esophageal Cancer","Pemba",0
"Bohol","BFL_partial","Stomach Cancer","Pemba",0
"Bohol","BFL_partial","Cirrhosis","UP",0.0460514334296572
"Bohol","BFL_partial","Epilepsy","UP",0.162387441947824
"Bohol","BFL_partial","Pneumonia","UP",0.181744725670094
