"target","variant","cause","domain","lambda"
"Dar","BFL_partial","Other Cardiovascular Diseases","AP",0.0601324683158242
"Dar","BFL_partial","Other Non-communicable Diseases","AP",0.272728354648494
"Dar","BFL_partial","Falls","AP",0.0803537716352852
"Dar","BFL_partial","Stroke","AP",0.231008884580058
"Dar","BFL_partial","Road Traffic","AP",0.325586832511747
"Dar","BFL_partial","Bite of Venomous Animal","AP",0.270021650081053
"Dar","BFL_partial","Diabetes","AP",0.0361407287571999
"Dar","BFL_partial","Other Infectious Diseases","AP",0.0311447766647097
"Dar","BFL_partial","TB","AP",0.728386622294504
"Dar","BFL_partial","Suicide","AP",0.847408051375041
"Dar","BFL_partial","Other Injuries","AP",0.266569339725824
"Dar","BFL_partial","Cervical Cancer","AP",0.023103429894977
"Dar","BFL_partial","Malaria","AP",0.551542033195866
"Dar","BFL_partial","Asthma","AP",0.351978637701083
"Dar","BFL_partial","Diarrhea/Dysentery","AP",0.240577849679455
"Dar","BFL_partial","Colorectal Cancer","AP",0.013072881661209
"Dar","BFL_partial","Homicide","AP",0.181072543864092
"Dar","BFL_partial","Breast Cancer","AP",0.0109685207653784
"Dar","BFL_partial","Leukemia/Lymphomas","AP",0.0574770625851818
"Dar","BFL_partial","Poisonings","AP",0.107121215225973
"Dar","BFL_partial","Prostate Cancer","AP",0.126908223729174
"Dar","BFL_partial","Esophageal Cancer","AP",0.141979689562333
"Dar","BFL_partial","Stomach Cancer","AP",0.0806589281462518
"Dar","BFL_partial","Cirrhosis","Bohol",0.075687608978204
"Dar","BFL_partial","Epilepsy","Bohol",0.183388071456286
"Dar","BFL_partial","Pneumonia","Bohol",0.0826123877488415
"Dar","BFL_partial","COPD","Bohol",0.177325623075925
"Dar","BFL_partial","Acute Myocardial Infarction","Bohol",0.100066245301424
"Dar","BFL_partial","Fires","Bohol",0.0707239556149927
"Dar","BFL_partial","Renal Failure","Bohol",0.0509281697013428
"Dar","BFL_partial","AIDS","Bohol",0
"Dar","BFL_partial","Lung Cancer","Bohol",0.203540992245478
"Dar","BFL_partial","Maternal","Bohol",0.0134045972038764
"Dar","BFL_partial","Drowning","Bohol",0.00655172058257901
"Dar","BFL_partial","Other Cardiovascular Diseases","Bohol",0.0260321674762171
"Dar","BFL_partial","Other Non-communicable Diseases","Bohol",0.00774291619570788
"Dar","BFL_partial","Falls","Bohol",0.0780363415318883
"Dar","BFL_partial","Stroke","Bohol",0.130775200075881
"Dar","BFL_partial","Road Traffic","Bohol",0.652073240840183
"Dar","BFL_partial","Bite of Venomous Animal","Bohol",0.241572236813648
"Dar","BFL_partial","Diabetes","Bohol",0.0271219969034132
"Dar","BFL_partial","Other Infectious Diseases","Bohol",0.066953326632363
"Dar","BFL_partial","TB","Bohol",0.0291524439298209
"Dar","BFL_partial","Suicide","Bohol",0.0280749883206753
"Dar","BFL_partial","Other Injuries","Bohol",0.127617833641329
"Dar","BFL_partial","Cervical Cancer","Bohol",0.0135072193053538
"Dar","BFL_partial","Malaria","Bohol",0
"Dar","BFL_partial","Asthma","Bohol",0.160581692358945
"Dar","BFL_partial","Diarrhea/Dysentery","Bohol",0.0446005989643795
"Dar","BFL_partial","Colorectal Cancer","Bohol",0.0136431978175905
"Dar","BFL_partial","Homicide","Bohol",0.163384538370156
"Dar","BFL_partial","Breast Cancer","Bohol",0.12044800987682
"Dar","BFL_partial","Leukemia/Lymphomas","Bohol",0.0994915324484778
"Dar","BFL_partial","Poisonings","Bohol",0.0965503050558406
"Dar","BFL_partial","Prostate Cancer","Bohol",0.124217045886246
"Dar","BFL_partial","Esophageal Cancer","Bohol",0.858020310437667
"Dar","BFL_partial","Stomach Cancer","Bohol",0.076414030921485
"Dar","BFL_partial","Cirrhosis","Pemba",0
"Dar","BFL_partial","Epilepsy","Pemba",0
"Dar","BFL_partial","Pneumonia","Pemba",0.386882440905222
"Dar","BFL_partial","COPD","Pemba",0
"Dar","BFL_partial","Acute Myocardial Infarction","Pemba",0
"Dar","BFL_partial","Fires","Pemba",0.0427537842597714
"Dar","BFL_partial","Renal Failure","Pemba",0
"Dar","BFL_partial","AIDS","Pemba",0
"Dar","BFL_partial","Lung Cancer","Pemba",0
"Dar","BFL_partial","Maternal","Pemba",0.435005878663706
"Dar","BFL_partial","Drowning","Pemba",0.674944290493677
"Dar","BFL_partial","Other Cardiovascular Diseases","Pemba",0
"Dar","BFL_partial","Other Non-communicable Diseases","Pemba",0.510814972499435
"Dar","BFL_partial","Falls","Pemba",0.611144750896102
"Dar","BFL_partial","Stroke","Pemba",0
"Dar","BFL_partial","Road Traffic","Pemba",0.00560462655278844
"Dar","BFL_partial","Bite of Venomous Animal","Pemba",0
"Dar","BFL_partial","Diabetes","Pemba",0.80969588521562
"Dar","BFL_partial","Other Infectious Diseases","Pemba",0.0266555257971242
"Dar","BFL_partial","TB","Pemba",0.0150320646443632
"Dar","BFL_partial","Suicide","Pemba",0.027581880949674
"Dar","BFL_partial","Other Injuries","Pemba",0.126451101112377
"Dar","BFL_partial","Cervical Cancer","Pemba",0
"Dar","BFL_partial","Malaria","Pemba",0.0878595967361802
"Dar","BFL_partial","Asthma","Pemba",0.164453443162059
"Dar","BFL_partial","Diarrhea/Dysentery","Pemba",0.512160832854403
"Dar","BFL_partial","Colorectal Cancer","Pemba",0
"Dar","BFL_partial","Homicide","Pemba",0.0899175301345422
"Dar","BFL_partial","Breast Cancer","Pemba",0
"Dar","BFL_partial","Leukemia/Lymphomas","Pemba",0
"Dar","BFL_partial","Poisonings","Pemba",0.0996187430441276
"Dar","BFL_partial","Prostate Cancer","Pemba",0
"Dar","BFL_partial","Esophageal Cancer","Pemba",0
"Dar","BFL_partial","Stomach Cancer","Pemba",0
"Dar","BFL_partial","Cirrhosis","UP",0.0992707725240087
"Dar","BFL_partial","Epilepsy","UP",0.181239293807387
"Dar","BFL_partial","Pneumonia","UP",0.0286882349645521
"Dar","BFL_partial","COPD","UP",0.318705104739936
"Dar","BFL_partial","Acute Myocardial Infarction","UP",0.094603492561253
"Dar","BFL_partial","Fires","UP",0.0513717565371671
"Dar","BFL_partial","Renal Failure","UP",0.25670247725944
"Dar","BFL_partial","AIDS","UP",0.00720038281354384
"Dar","BFL_partial","Lung Cancer","UP",0.0948999166547233
"Dar","BFL_partial","Maternal","UP",0.0311103270073503
"Dar","BFL_partial","Drowning","UP",0.0111482906034084
"Dar","BFL_partial","Other Cardiovascular Diseases","UP",0.175542227096348
"Dar","BFL_partial","Other Non-communicable Diseases","UP",0.0115087072756933
"Dar","BFL_partial","Falls","UP",0.107875470505395
"Dar","BFL_partial","Stroke","UP",0.295908056671336
"Dar","BFL_partial","Road Traffic","UP",0.00871962070457427
"Dar","BFL_partial","Bite of Venomous Animal","UP",0.247836354471522
"Dar","BFL_partial","Diabetes","UP",0.0291182788898545
"Dar","BFL_partial","Other Infectious Diseases","UP",0.844536120222505
"Dar","BFL_partial","TB","UP",0.212674951296723
"Dar","BFL_partial","Suicide","UP",0.0690210930842175
"Dar","BFL_partial","Other Injuries","UP",0.35077151232282
"Dar","BFL_partial","Cervical Cancer","UP",0.0131874823989006
"Dar","BFL_partial","Malaria","UP",0.360598370067954
"Dar","BFL_partial","Asthma","UP",0.16388523579284
"Dar","BFL_partial","Diarrhea/Dysentery","UP",0.105212910739705
"Dar","BFL_partial","Colorectal Cancer","UP",0
"Dar","BFL_partial","Homicide","UP",0.463247534906583
"Dar","BFL_partial","Breast Cancer","UP",0.0135411560857596
"Dar","BFL_partial","Leukemia/Lymphomas","UP",0.0508039394433476
"Dar","BFL_partial","Poisonings","UP",0.598258767496476
"Dar","BFL_partial","Prostate Cancer","UP",0
"Dar","BFL_partial","Esophageal Cancer","UP",0
"Dar","BFL_partial","Stomach Cancer","UP",0
"Dar","BFL_domain","Cirrhosis","Mexico",0.627418142101634
"Dar","BFL_domain","Epilepsy","Mexico",0.191374242015918
"Dar","BFL_domain","Pneumonia","Mexico",0.524184676529626
"Dar","BFL_domain","COPD","Mexico",0.215238021979307
"Dar","BFL_domain","Acute Myocardial Infarction","Mexico",0.338023182112734
"Dar","BFL_domain","Fires","Mexico",0.160640393218607
"Dar","BFL_domain","Renal Failure","Mexico",0.259705818118776
"Dar","BFL_domain","AIDS","Mexico",0.0666835945267892
"Dar","BFL_domain","Lung Cancer","Mexico",0.239495100927192
"Dar","BFL_domain","Maternal","Mexico",0.0278307785917961
"Dar","BFL_domain","Drowning","Mexico",0
"Dar","BFL_domain","Other Cardiovascular Diseases","Mexico",0.039902106698269
"Dar","BFL_domain","Other Non-communicable Diseases","Mexico",0.018653697497785
"Dar","BFL_domain","Falls","Mexico",0.171535714420927
"Dar","BFL_domain","Stroke","Mexico",0.116845865130894
"Dar","BFL_domain","Road Traffic","Mexico",0.0196961919618939
"Dar","BFL_domain","Bite of Venomous Animal","Mexico",0.239587031685223
"Dar","BFL_domain","Diabetes","Mexico",0.201150577423021
"Dar","BFL_domain","Other Infectious Diseases","Mexico",0.101542852854511
"Dar","BFL_domain","TB","Mexico",0.0215413098663583
"Dar","BFL_domain","Suicide","Mexico",0.137766986867472
"Dar","BFL_domain","Other Injuries","Mexico",0.161996959513696
"Dar","BFL_domain","Cervical Cancer","Mexico",0.0175555472864232
"Dar","BFL_domain","Malaria","Mexico",0
"Dar","BFL_domain","Asthma","Mexico",0.167567782936437
"Dar","BFL_domain","Diarrhea/Dysentery","Mexico",0.12539971701697
"Dar","BFL_domain","Colorectal Cancer","Mexico",0.791156489598582
"Dar","BFL_domain","Homicide","Mexico",0.15465609993983
"Dar","BFL_domain","Breast Cancer","Mexico",0.0785353448125618
"Dar","BFL_domain","Leukemia/Lymphomas","Mexico",0.231166251893827
"Dar","BFL_domain","Poisonings","Mexico",0.164855141789256
"Dar","BFL_domain","Prostate Cancer","Mexico",0.247330478068504
"Dar","BFL_domain","Esophageal Cancer","Mexico",0
"Dar","BFL_domain","Stomach Cancer","Mexico",0.396990473738995
"Dar","BFL_domain","Cirrhosis","AP",0.132824731759112
"Dar","BFL_domain","Epilepsy","AP",0.230016730355876
"Dar","BFL_domain","Pneumonia","AP",0.0351440404876699
"Dar","BFL_domain","COPD","AP",0.228760723509674
"Dar","BFL_domain","Acute Myocardial Infarction","AP",0.279076801298849
"Dar","BFL_domain","Fires","AP",0.167902419957601
"Dar","BFL_domain","Renal Failure","AP",0.184141376349025
"Dar","BFL_domain","AIDS","AP",0.00422218041591692
"Dar","BFL_domain","Lung Cancer","AP",0.161801912587843
"Dar","BFL_domain","Maternal","AP",0.00836426369442771
"Dar","BFL_domain","Drowning","AP",0.488910669273075
"Dar","BFL_domain","Other Cardiovascular Diseases","AP",0.0372671105026792
"Dar","BFL_domain","Other Non-communicable Diseases","AP",0.00386499571533792
"Dar","BFL_domain","Falls","AP",0.156469556275597
"Dar","BFL_domain","Stroke","AP",0.0731717120580511
"Dar","BFL_domain","Road Traffic","AP",0.345893115174993
"Dar","BFL_domain","Bite of Venomous Animal","AP",0.269076124036527
"Dar","BFL_domain","Diabetes","AP",0.0557420929366066
"Dar","BFL_domain","Other Infectious Diseases","AP",0.101655678740938
"Dar","BFL_domain","TB","AP",0.0214990947032809
"Dar","BFL_domain","Suicide","AP",0.289642494287007
"Dar","BFL_domain","Other Injuries","AP",0.173516756333225
"Dar","BFL_domain","Cervical Cancer","AP",0.00824618498295745
"Dar","BFL_domain","Malaria","AP",0.249439005499537
"Dar","BFL_domain","Asthma","AP",0.172632651158298
"Dar","BFL_domain","Diarrhea/Dysentery","AP",0.124937453369568
"Dar","BFL_domain","Colorectal Cancer","AP",0.0688934039529026
"Dar","BFL_domain","Homicide","AP",0.17532657459943
"Dar","BFL_domain","Breast Cancer","AP",0.0153540066859056
"Dar","BFL_domain","Leukemia/Lymphomas","AP",0.184353637137307
"Dar","BFL_domain","Poisonings","AP",0.166910520511209
"Dar","BFL_domain","Prostate Cancer","AP",0.25285062728265
"Dar","BFL_domain","Esophageal Cancer","AP",0.335544574789906
"Dar","BFL_domain","Stomach Cancer","AP",0.200385881723134
"Dar","BFL_domain","Cirrhosis","Bohol",0.0834833587767769
"Dar","BFL_domain","Epilepsy","Bohol",0.193134599577483
"Dar","BFL_domain","Pneumonia","Bohol",0.101011275368992
"Dar","BFL_domain","COPD","Bohol",0.183661844837762
"Dar","BFL_domain","Acute Myocardial Infarction","Bohol",0.180840120468456
"Dar","BFL_domain","Fires","Bohol",0.158236138661838
"Dar","BFL_domain","Renal Failure","Bohol",0.177607523916488
"Dar","BFL_domain","AIDS","Bohol",0
"Dar","BFL_domain","Lung Cancer","Bohol",0.272749355030123
"Dar","BFL_domain","Maternal","Bohol",0.0070119268178015
"Dar","BFL_domain","Drowning","Bohol",0.00832894165004677
"Dar","BFL_domain","Other Cardiovascular Diseases","Bohol",0.037663083810288
"Dar","BFL_domain","Other Non-communicable Diseases","Bohol",0.00431192609625518
"Dar","BFL_domain","Falls","Bohol",0.153948086751188
"Dar","BFL_domain","Stroke","Bohol",0.0523280594200966
"Dar","BFL_domain","Road Traffic","Bohol",0.606812314183976
"Dar","BFL_domain","Bite of Venomous Animal","Bohol",0.239294766008657
"Dar","BFL_domain","Diabetes","Bohol",0.0694910016944399
"Dar","BFL_domain","Other Infectious Diseases","Bohol",0.121790413797455
"Dar","BFL_domain","TB","Bohol",0.0225570868627492
"Dar","BFL_domain","Suicide","Bohol",0.137139438292671
"Dar","BFL_domain","Other Injuries","Bohol",0.163991997216393
"Dar","BFL_domain","Cervical Cancer","Bohol",0.00833020240826059
"Dar","BFL_domain","Malaria","Bohol",0
"Dar","BFL_domain","Asthma","Bohol",0.16412390708676
"Dar","BFL_domain","Diarrhea/Dysentery","Bohol",0.120855357226165
"Dar","BFL_domain","Colorectal Cancer","Bohol",0.0706553127349912
"Dar","BFL_domain","Homicide","Bohol",0.192670907820958
"Dar","BFL_domain","Breast Cancer","Bohol",0.0217515316743577
"Dar","BFL_domain","Leukemia/Lymphomas","Bohol",0.188114864300294
"Dar","BFL_domain","Poisonings","Bohol",0.165824063945818
"Dar","BFL_domain","Prostate Cancer","Bohol",0.250748519967361
"Dar","BFL_domain","Esophageal Cancer","Bohol",0.330876950134558
"Dar","BFL_domain","Stomach Cancer","Bohol",0.199266446482363
"Dar","BFL_domain","Cirrhosis","Pemba",0
"Dar","BFL_domain","Epilepsy","Pemba",0
"Dar","BFL_domain","Pneumonia","Pemba",0.238302819692862
"Dar","BFL_domain","COPD","Pemba",0
"Dar","BFL_domain","Acute Myocardial Infarction","Pemba",0
"Dar","BFL_domain","Fires","Pemba",0.154254447318319
"Dar","BFL_domain","Renal Failure","Pemba",0
